time,X_sp3,Y_sp3,Z_sp3,X_nav,Y_nav,Z_nav,dX,dY,dZ,d3d
2021-09-15 00:00:00+00:00,8051238.944,18843150.384,-16974747.091000002,8051238.42695811,18843150.040590663,-16974746.79988224,0.517041889950633,0.34340933710336685,-0.29111776128411293,0.6855740949806739
2021-09-15 00:05:00+00:00,7864758.007999999,19445553.636,-16361098.361,7864757.514915602,19445553.260066286,-16361098.125584826,0.4930843971669674,0.3759337142109871,-0.2354151736944914,0.6632335065537531
2021-09-15 00:10:00+00:00,7692980.069999999,20028047.717,-15716273.331,7692979.612512078,20028047.29280817,-15716273.164158262,0.457487921230495,0.42419182881712914,-0.16684173792600632,0.6458096245962818
2021-09-15 00:15:00+00:00,7535234.927,20589142.789,-15041477.231,7535234.515507383,20589142.303981576,-15041477.145972924,0.4114926168695092,0.48501842468976974,-0.08502707630395889,0.6417153962088348
2021-09-15 00:20:00+00:00,7390768.807,21127408.683000002,-14337974.167,7390768.451125547,21127408.126865394,-14337974.175067162,0.355874452739954,0.556134607642889,0.008067162707448006,0.6603009973074554
2021-09-15 00:25:00+00:00,7258748.154,21641480.649,-13607084.913999999,7258747.860181983,21641480.01516804,-13607085.026930941,0.2938180174678564,0.6338319592177868,0.11293094232678413,0.7076901706604488
2021-09-15 00:30:00+00:00,7138263.77,22130064.862999998,-12850184.597,7138263.5417966265,22130064.146111403,-12850184.825114686,0.22820337302982807,0.7168885953724384,0.22811468690633774,0.7861566943171285
2021-09-15 00:35:00+00:00,7028335.3040000005,22591943.651,-12068700.248,7028335.144324079,22591942.849822924,-12068700.599450214,0.15967592131346464,0.8011770769953728,0.3514502141624689,0.8893246660162971
2021-09-15 00:40:00+00:00,6927916.076,23025980.425,-11264108.249000002,6927915.984522221,23025979.541539997,-11264108.729000205,0.0914777796715498,0.8834600038826466,0.4800002034753561,1.0095890044816977
2021-09-15 00:45:00+00:00,6835898.2020000005,23431124.294,-10437931.662,6835898.175417805,23431123.33421371,-10437932.273191115,0.026582195423543453,0.9597862884402275,0.611191114410758,1.1381787693179255
2021-09-15 00:50:00+00:00,6751118.009,23806414.338999998,-9591737.453,6751118.041838407,23806413.3102897,-9591738.19492786,-0.03283840697258711,1.0287102982401848,0.7419278603047132,1.2687711332522653
2021-09-15 00:55:00+00:00,6672361.717,24150983.519,-8727133.611,6672361.801153537,24150982.432748318,-8727134.479837457,-0.08415353670716286,1.0862516835331917,0.8688374571502209,1.3935218206638456
2021-09-15 01:00:00+00:00,6598371.36,24464062.207,-7845766.169000001,6598371.485432319,24464061.07689305,-7845767.15614016,-0.12543231900781393,1.1301069483160973,0.9871401591226459,1.5057624895834942
2021-09-15 01:05:00+00:00,6527850.926,24744981.325,-6949316.1280000005,6527851.0799676925,24744980.16588803,-6949317.219999189,-0.15396769251674414,1.1591119691729546,1.0919991880655289,1.5999090080859941
2021-09-15 01:10:00+00:00,6459472.684,24993175.064999998,-6039496.291,6459472.851967098,24993173.894651413,-6039497.471551882,-0.16796709783375263,1.170348584651947,1.1805518819019198,1.6708176146466955
2021-09-15 01:15:00+00:00,6391883.676,25208183.191,-5118048.021,6391883.842155566,25208182.028411046,-5118049.267173571,-0.1661555664613843,1.1625889539718628,1.2461735708639026,1.712357823845
2021-09-15 01:20:00+00:00,6323712.345,25389652.902000003,-4186737.9090000005,6323712.491098578,25389651.76401255,-4186739.1938695153,-0.14609857834875584,1.1379874534904957,1.2848695148713887,1.7225707268913948
2021-09-15 01:25:00+00:00,6253575.262999999,25537340.239,-3247354.3800000004,6253575.371234717,25537339.143931277,-3247355.672025951,-0.10823471751064062,1.0950687229633331,1.2920259507372975,1.697121480467963
2021-09-15 01:30:00+00:00,6180083.9459999995,25651111.051,-2301704.23,6180083.994908921,25651110.01487296,-2301705.493078945,-0.048908921889960766,1.0361270383000374,1.263078945223242,1.6344172490533448
2021-09-15 01:35:00+00:00,6101851.698000001,25730941.488,-1351609.105,6101851.668139009,25730940.524841286,-1351610.2989740288,0.02986099198460579,0.9631587155163288,1.1939740288071334,1.534320817685567
2021-09-15 01:40:00+00:00,6017500.489,25776918.033000004,-398901.932,6017500.35941601,25776917.154599477,-398903.01059091784,0.12958399020135403,0.8784005269408226,1.078590917866677,1.3970461210535965
2021-09-15 01:45:00+00:00,5925667.804,25789237.069,554576.703,5925667.552559771,25789236.281542804,554575.7874077532,0.2514402288943529,0.7874571941792965,0.9155922468053177,1.2335396968809655
2021-09-15 01:50:00+00:00,5825013.4459999995,25768203.97,1506982.1979999999,5825013.052505965,25768203.27612521,1506981.4975789601,0.3934940341860056,0.6938747875392437,0.7004210397135466,1.0615504738805468
2021-09-15 01:55:00+00:00,5714226.268999999,25714231.737,2456469.6180000002,5714225.712916313,25714231.133129295,2456469.1885829023,0.5560836866497993,0.6038707047700882,0.429417097941041,0.9264383080603159
2021-09-15 02:00:00+00:00,5592030.794000001,25627839.167,3401197.396,5592030.935114833,25627838.467802245,3401196.4041011003,-0.14111483190208673,0.6991977542638779,0.991898899897933,1.2217423308411368
2021-09-15 02:05:00+00:00,5457193.687,25509648.568,4339331.035999999,5457193.836922616,25509647.87148434,4339330.031704991,-0.14992261584848166,0.6965156607329845,1.0042950082570314,1.2313485777793176
2021-09-15 02:10:00+00:00,5308530.067,25360383.032,5269046.835,5308530.231122304,25360382.340808045,5269045.814898899,-0.16412230394780636,0.6911919564008713,1.0201011011376977,1.2430964193451541
2021-09-15 02:15:00+00:00,5144909.620999999,25180863.270999998,6188535.579,5144909.802740881,25180862.588852383,6188534.542566188,-0.18174088187515736,0.6821476146578789,1.0364338122308254,1.2540136217216764
2021-09-15 02:20:00+00:00,4965262.477,24972004.032,7096006.244999999,4965262.681706814,24972003.363583706,7096005.190259598,-0.2047068141400814,0.6684162952005863,1.0547404009848833,1.265370513689493
2021-09-15 02:25:00+00:00,4768584.835,24734810.105,7989689.663,4768585.067826241,24734809.456466556,7989688.588416819,-0.23282624129205942,0.6485334448516369,1.0745831802487373,1.276531511165631
2021-09-15 02:30:00+00:00,4553944.307,24470371.945,8867842.152999999,4553944.572880855,24470371.32162167,8867841.057937747,-0.2658808548003435,0.6233783289790154,1.0950622521340847,1.2878099650332748
2021-09-15 02:35:00+00:00,4320484.95,24179860.915000003,9728749.119,4320485.254284051,24179860.324456602,9728748.004163388,-0.3042840510606766,0.5905434004962444,1.1148366127163172,1.2977638323872167
2021-09-15 02:40:00+00:00,4067431.969,23864524.193,10570728.594,4067432.316080426,23864523.640528824,10570727.460315974,-0.34708042582497,0.5524711757898331,1.1336840260773897,1.3080247295263507
2021-09-15 02:45:00+00:00,3794096.06,23525679.335,11392134.722000001,3794096.4545591837,23525678.827141915,11392133.571514366,-0.39455918362364173,0.5078580863773823,1.150485634803772,1.3180341350551166
2021-09-15 02:50:00+00:00,3499877.382,23164708.55,12191361.176,3499877.8273553513,23164708.09181348,12191360.010568505,-0.44535535108298063,0.4581865221261978,1.1654314957559109,1.329100014707774
2021-09-15 02:55:00+00:00,3184269.1289999997,22783052.687,12966844.493,3184269.6266413108,22783052.28327644,12966843.316881139,-0.4976413110271096,0.4037235602736473,1.1761188618838787,1.3393637164115804
2021-09-15 03:00:00+00:00,2846860.687,22382204.98,13717067.333,2846861.2388376966,22382204.632076606,13717066.14994488,-0.5518376966938376,0.347923394292593,1.1830551214516163,1.3509977617232893
2021-09-15 03:05:00+00:00,2487340.369,21963704.560999997,14440561.634,2487340.975206038,21963704.2690972,14440560.449116444,-0.6062060380354524,0.2919027954339981,1.1848835553973913,1.3625865265677575
2021-09-15 03:10:00+00:00,2105497.703,21529129.788,15135911.673,2105498.359700607,21529129.55146975,15135910.491577718,-0.6567006069235504,0.23653024807572365,1.1814222820103168,1.3722102075917477
2021-09-15 03:15:00+00:00,1701225.258,21080091.413,15801757.012,1701225.9625535682,21080091.22631173,15801755.840653783,-0.7045535682700574,0.18668827041983604,1.1713462173938751,1.379601464872142
2021-09-15 03:20:00+00:00,1274520.0259999998,20618225.607,16436795.332999999,1274520.7702248115,20618225.46355921,16436794.176950058,-0.7442248116713017,0.14344079047441483,1.1560499407351017,1.3823520883453468
2021-09-15 03:25:00+00:00,825484.309,20145186.901,17039785.141,825485.084563408,20145186.789831646,17039784.00509313,-0.7755634080385789,0.11116835474967957,1.1359068676829338,1.379906306614844
2021-09-15 03:30:00+00:00,354326.152,19662641.048,17609548.338,354326.94628244825,19662640.955771655,17609547.22921063,-0.7942824482452124,0.09222834557294846,1.1087893694639206,1.3670422601930527
2021-09-15 03:35:00+00:00,-138640.71899999998,19172257.859,18144972.669,-138639.919870222,19172257.76964307,18144971.59066342,-0.7991297779954039,0.0893569327890873,1.0783365815877914,1.3451404561260139
2021-09-15 03:40:00+00:00,-652997.424,18675704.036,18645014.007000003,-652996.6385615524,18675703.93014118,18645012.961946055,-0.7854384476086125,0.10585881769657135,1.0450539477169514,1.3115858332205055
2021-09-15 03:45:00+00:00,-1188220.944,18174636.036,19108698.5,-1188220.1939582843,18174635.891371932,19108697.491096985,-0.7500417155679315,0.14462806656956673,1.0089030154049397,1.2654505708343242
2021-09-15 03:50:00+00:00,-1743685.603,17670693.001,19535124.564000003,-1743684.9121728018,17670692.79278885,19535123.591406003,-0.690827198093757,0.20821115002036095,0.9725940003991127,1.2110050331155613
2021-09-15 03:55:00+00:00,-2318665.013,17165489.786,19923464.71,-2318664.409525485,17165489.48654147,19923463.77167094,-0.6034745150245726,0.2994585298001766,0.9383290596306324,1.1551269737572287
2021-09-15 04:00:00+00:00,-2912334.484,16660610.112999998,20272967.211,-2912333.8439793177,16660609.801228672,20272966.374679413,-0.6400206824764609,0.31177132576704025,0.836320586502552,1.0982986647429493
2021-09-15 04:05:00+00:00,-3523773.87,16157599.893000001,20582957.601999998,-3523773.1925544497,16157599.620906007,20582956.802725784,-0.6774455504491925,0.27209399454295635,0.7992742136120796,1.0825002929491336
